School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated,# of students not fully vaccinated,% of students not fully vaccinated,# of students never vaccinated,% of students never vaccinated
75K368,237,122,0.515,99,0.418,138,0.582,115,0.485
75K369,489,244,0.499,208,0.425,281,0.575,245,0.501
75K370,245,128,0.522,111,0.453,134,0.547,117,0.478
75K371,208,126,0.606,104,0.5,104,0.500,82,0.394
75K372,178,117,0.657,106,0.596,72,0.404,61,0.343
75K373,473,272,0.575,222,0.469,251,0.531,201,0.425
75K396,470,153,0.326,114,0.243,356,0.757,317,0.674
75K721,473,271,0.573,215,0.455,258,0.545,202,0.427
75K753,349,154,0.441,118,0.338,231,0.662,195,0.559
75K771,497,220,0.443,188,0.378,309,0.622,277,0.557
75K811,316,178,0.563,136,0.43,180,0.570,138,0.437
75M035,262,172,0.656,146,0.557,116,0.443,90,0.344
75M079,278,172,0.619,128,0.46,150,0.540,106,0.381
75M094,390,201,0.515,177,0.454,213,0.546,189,0.485
75M138,649,302,0.465,258,0.398,391,0.602,347,0.535
75M169,323,145,0.449,111,0.344,212,0.656,178,0.551
75M226,257,143,0.556,111,0.432,146,0.568,114,0.444
75M721,205,137,0.668,107,0.522,98,0.478,68,0.332
75M751,223,145,0.65,121,0.543,102,0.457,78,0.350
75M811,410,195,0.476,160,0.39,250,0.610,215,0.524
75Q004,482,233,0.483,204,0.423,278,0.577,249,0.517
75Q009,683,335,0.49,297,0.435,386,0.565,348,0.510
75Q023,280,188,0.671,171,0.611,109,0.389,92,0.329
75Q075,578,291,0.503,240,0.415,338,0.585,287,0.497
75Q177,502,351,0.699,280,0.558,222,0.442,151,0.301
75Q224,342,191,0.558,164,0.48,178,0.520,151,0.442
75Q233,509,294,0.578,238,0.468,271,0.532,215,0.422
75Q255,484,221,0.457,189,0.39,295,0.610,263,0.543
75Q256,506,198,0.391,158,0.312,348,0.688,308,0.609
75Q277,680,370,0.544,310,0.456,370,0.544,310,0.456
75Q721,496,375,0.756,297,0.599,199,0.401,121,0.244
75Q752,411,278,0.676,224,0.545,187,0.455,133,0.324
75Q811,441,267,0.605,225,0.51,216,0.490,174,0.395
75Q993,593,343,0.578,286,0.482,307,0.518,250,0.422
75R025,536,296,0.552,248,0.463,288,0.537,240,0.448
75R037,444,152,0.342,128,0.288,316,0.712,292,0.658
75R373,585,200,0.342,142,0.243,443,0.757,385,0.658
75R721,442,274,0.62,224,0.507,218,0.493,168,0.380
75X010,666,269,0.404,219,0.329,447,0.671,397,0.596
75X012,296,193,0.652,150,0.507,146,0.493,103,0.348
75X017,508,234,0.461,192,0.378,316,0.622,274,0.539
75X168,575,244,0.424,197,0.343,378,0.657,331,0.576
75X176,560,356,0.636,295,0.527,265,0.473,204,0.364
75X186,670,269,0.401,210,0.313,460,0.687,401,0.599
75X188,517,251,0.485,193,0.373,324,0.627,266,0.515
75X352,502,206,0.41,154,0.307,348,0.693,296,0.590
75X469,520,233,0.448,186,0.358,334,0.642,287,0.552
75X596,360,127,0.353,98,0.272,262,0.728,233,0.647
75X721,544,365,0.671,300,0.551,244,0.449,179,0.329
75X723,436,202,0.463,162,0.372,274,0.628,234,0.537
75X754,430,249,0.579,174,0.405,256,0.595,181,0.421
75X811,603,409,0.678,335,0.556,268,0.444,194,0.322
Total,822865,495740,0.602,434618,0.528,388247,0.472,327125,0.398
